dis_cat,disorder,diagnosis,t_beg,t_end,notes
1,Psychotic,Schizophrenia,182,inf,"6 months includes prodromal (declining function), psychosis (psychotic symptoms) and residual phases (negative symptoms).
2 or more of the following psychotic symptoms (at least 1 from the first three) must be present for at least 1 month: delusions, hallucinations, disorganized speech, disorganized or catatonic behavior, negative symptoms (e.g., [5 A's]: flat or blunted affect, anhedonia, avolition or apathy, alogia or poverty of speech, decreased attention and social isolation).
Significant social, occupational or self-care functional deterioration.
Symptoms not due to another psychiatric illness or substance use.
Intact procedural memory and orientation.
Lack of insight into disease.
Downward drift theory: schizophrenia more common among lower socioeconomic status due to difficulty holding jobs."
1,Psychotic,Schizophreniform Disorder,31,182,"Same as schizophrenia, but shorter duration.
1/3 of patients recover without progressing to schizophrenia or schizoaffective disorder."
1,Psychotic,Schizoaffective Disorder,,,"Psychotic symptoms with either a major depressive or manic episode for a majority of the psychotic illness.
2 weeks or more of delusions or hallucinations without mood disorder symptoms, otherwise the diagnosis becomes Mood Disorder with Psychotic Symptoms.
Symptoms cannot be due to substance use."
1,Psychotic,Brief Psychotic Disorder,1,31,"Same as schizophrenia, but shortest duration.
Return to normal functioning after symptoms.
Symptoms must not be due to substance use or medical condition.
Rare diagnosis, may be in response to bereavement, sexual assault, etc.
High rates of relapse, but most recover without disease progression."
1,Psychotic,Delusional Disorder,31,inf,"1 or more delusions without meeting other criteria for schizophrenia.
Normal functioning in life without obviously bizarre behavior.
Delusions of various types, but usually non-bizarre: erotomanic, grandiose, somatic, persecutory, jealous.
Poor insight; egosyntonic."
2,Mood,Major Depressive Episode,14,inf,"Depressed mood and 5 or more of the following (SIG E CAPS): sleep disturbances, decreased interest in pleasurable activities (anhedonia), feelings of guilt or worthlessness, decreased energy or fatigue, decreased concentration, appetite changes, psychomotor retardation or agitation, suicidality as recurrent thoughts of death or suicide."
2,Mood,Major Depressive Disorder,182,365,"At least one major depressive episode.
No history of manic or hypomanic episodes."
2,Mood,Persistent Depressive Disorder (Dysthymia),730,inf,"2 or more of the following (CHASES): poor concentration or difficulty making decisions, feelings of hopelessness, poor appetite or overeating, insomnia or hypersomnia, low energy or fatigue, low self-esteem.
2 Ds: 2 years of depression, 2 symptoms of CHASES, never asymptomatic for more than 2 months."
2,Mood,Pediatric Persistent Depressive Disorder (Dysthymia),365,inf,Same as in adults.
2,Mood,Manic Episode,7,inf,"Symptoms cannot be attributed to substance use or other medical condition.
Must cause clinically significant distress or social/occupational impairment.
7-day minimum is unnecessary if hospitalization is required.
Psychotic symptoms occur in 50% of manic patients.
Three of the following (four if mood irritable only) (DIG FAST): distractibility, insomnia or impulsive behavior, inflated grandiosity or self-esteem, flight of ideas or racing thoughts, increased activity or agitation, pressured speech, thoughtlessness."
2,Mood,Hypomanic Episode,4,inf,"Same criteria as a manic episode, except:
No marked impairment in social or occupational functioning
No hospitalization required
No psychotic features"
2,Mood,Bipolar I Disorder,,,"Occurrence of manic episode is only requirement for diagnosis.
Euthymia, major depressive episodes or hypomanic episodes may occur between manic episodes, but these are not required for diagnosis.
Untreated manic episodes may last several months.
Relapses are common (<= 90%)."
2,Mood,Bipolar II Disorder,,,"One or more depressive episodes and one or more hypomanic episodes.
No lifetime history of a manic episode."
2,Mood,Cyclothymic Disorder,730,inf,"Alternating periods of hypomanic symptoms and periods with mild-to-moderate depressive symptoms.
No history of hypomanic episodes, major depressive episodes or manic episodes
Never asymptomatic for more than 2 months."
2,Mood,Premenstrual Dysphoric Disorder,60,inf,"Mood lability, irritability, dysphoria or anxiety occuring during the premenstrual phase for at least two cycles.
Symptoms must cause clinical distress or impairment in functioning.
Diagnose using a journal of mood and feelings for at least 2 menstrual cycles.
Symptoms are not due to underlying psychiatric disorder or substance use."
2,Mood,Disruptive Mood Dysregulation Disorder,365,inf,"Chronic, severe, persistent irritability occurring in childhood and adolescence.
Severe, recurrent outbursts disproportionate to situation.
Mood persistently angry/irritable most of the day between outbursts.
No more than 3 months without symptoms.
Symptoms in at least 2 settings (e.g., home, school, friends).
Symptoms must occur before age 10, but diagnosis may be made up until age 18.
No manic or hypomanic episodes lasting more than 1 day.
Symptoms do not occur during major depressive disorder.
Symptoms not better explained by other psychiatric diagnosis (e.g., oppositional defiant disorder, intermittent explosive disorder or bipolar disorder)."
3,"Anxiety, Obsessive-Compulsive, Trauma/Stressor",Panic Attack,,,"DaPANICS: dizziness, disconnectedness, depersonalization (self), derealization (reality), palpitations, paresthesias, abdominal distress, numbness, nausea, intense feelings of dying or going insane, chills, chest pain, shortness of breath, sweating, shaking
Lasts minutes, usually resolves in 30 minutes, may have residual anxiety for hours after"
